SourceFile,Rows,Columns,ColumnNames,DataTypes,DuplicateRows,MinPickupDate,MaxPickupDate,MinTripDistance,MaxTripDistance,MinFare,MaxFare,MinTotalAmount,MaxTotalAmount,UniquePickupLocations,UniqueDropoffLocations,FileSizeMB,NullCounts
yellow_tripdata_2024-01.parquet,2964624,19,"VendorID, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, RatecodeID, store_and_fwd_flag, PULocationID, DOLocationID, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge, Airport_fee","VendorID:int32, tpep_pickup_datetime:datetime64[us], tpep_dropoff_datetime:datetime64[us], passenger_count:float64, trip_distance:float64, RatecodeID:float64, store_and_fwd_flag:str, PULocationID:int32, DOLocationID:int32, payment_type:int64, fare_amount:float64, extra:float64, mta_tax:float64, tip_amount:float64, tolls_amount:float64, improvement_surcharge:float64, total_amount:float64, congestion_surcharge:float64, Airport_fee:float64",0,2002-12-31 22:59:39,2024-02-01 00:01:15,0.0,312722.3,-899.0,5000.0,-900.0,5000.0,260,261,47.65,"{'VendorID': 0, 'tpep_pickup_datetime': 0, 'tpep_dropoff_datetime': 0, 'passenger_count': 140162, 'trip_distance': 0, 'RatecodeID': 140162, 'store_and_fwd_flag': 140162, 'PULocationID': 0, 'DOLocationID': 0, 'payment_type': 0, 'fare_amount': 0, 'extra': 0, 'mta_tax': 0, 'tip_amount': 0, 'tolls_amount': 0, 'improvement_surcharge': 0, 'total_amount': 0, 'congestion_surcharge': 140162, 'Airport_fee': 140162}"
yellow_tripdata_2024-02.parquet,3007526,19,"VendorID, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, RatecodeID, store_and_fwd_flag, PULocationID, DOLocationID, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge, Airport_fee","VendorID:int32, tpep_pickup_datetime:datetime64[us], tpep_dropoff_datetime:datetime64[us], passenger_count:float64, trip_distance:float64, RatecodeID:float64, store_and_fwd_flag:str, PULocationID:int32, DOLocationID:int32, payment_type:int64, fare_amount:float64, extra:float64, mta_tax:float64, tip_amount:float64, tolls_amount:float64, improvement_surcharge:float64, total_amount:float64, congestion_surcharge:float64, Airport_fee:float64",1,2008-12-31 22:52:49,2024-03-01 00:01:37,0.0,222478.29,-999.0,9792.0,-1000.0,9792.0,254,260,48.02,"{'VendorID': 0, 'tpep_pickup_datetime': 0, 'tpep_dropoff_datetime': 0, 'passenger_count': 185610, 'trip_distance': 0, 'RatecodeID': 185610, 'store_and_fwd_flag': 185610, 'PULocationID': 0, 'DOLocationID': 0, 'payment_type': 0, 'fare_amount': 0, 'extra': 0, 'mta_tax': 0, 'tip_amount': 0, 'tolls_amount': 0, 'improvement_surcharge': 0, 'total_amount': 0, 'congestion_surcharge': 185610, 'Airport_fee': 185610}"
yellow_tripdata_2025-01.parquet,3475226,20,"VendorID, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, RatecodeID, store_and_fwd_flag, PULocationID, DOLocationID, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge, Airport_fee, cbd_congestion_fee","VendorID:int32, tpep_pickup_datetime:datetime64[us], tpep_dropoff_datetime:datetime64[us], passenger_count:float64, trip_distance:float64, RatecodeID:float64, store_and_fwd_flag:str, PULocationID:int32, DOLocationID:int32, payment_type:int64, fare_amount:float64, extra:float64, mta_tax:float64, tip_amount:float64, tolls_amount:float64, improvement_surcharge:float64, total_amount:float64, congestion_surcharge:float64, Airport_fee:float64, cbd_congestion_fee:float64",0,2024-12-31 20:47:55,2025-02-01 00:00:44,0.0,276423.57,-900.0,863372.12,-901.0,863380.37,261,260,56.42,"{'VendorID': 0, 'tpep_pickup_datetime': 0, 'tpep_dropoff_datetime': 0, 'passenger_count': 540149, 'trip_distance': 0, 'RatecodeID': 540149, 'store_and_fwd_flag': 540149, 'PULocationID': 0, 'DOLocationID': 0, 'payment_type': 0, 'fare_amount': 0, 'extra': 0, 'mta_tax': 0, 'tip_amount': 0, 'tolls_amount': 0, 'improvement_surcharge': 0, 'total_amount': 0, 'congestion_surcharge': 540149, 'Airport_fee': 540149, 'cbd_congestion_fee': 0}"
yellow_tripdata_2025-02.parquet,3577543,20,"VendorID, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, RatecodeID, store_and_fwd_flag, PULocationID, DOLocationID, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge, Airport_fee, cbd_congestion_fee","VendorID:int32, tpep_pickup_datetime:datetime64[us], tpep_dropoff_datetime:datetime64[us], passenger_count:float64, trip_distance:float64, RatecodeID:float64, store_and_fwd_flag:str, PULocationID:int32, DOLocationID:int32, payment_type:int64, fare_amount:float64, extra:float64, mta_tax:float64, tip_amount:float64, tolls_amount:float64, improvement_surcharge:float64, total_amount:float64, congestion_surcharge:float64, Airport_fee:float64, cbd_congestion_fee:float64",0,2025-01-31 22:22:53,2025-03-01 00:06:32,0.0,228782.51,-1807.6,132531.36,-1832.85,132555.41,257,260,57.55,"{'VendorID': 0, 'tpep_pickup_datetime': 0, 'tpep_dropoff_datetime': 0, 'passenger_count': 806937, 'trip_distance': 0, 'RatecodeID': 806937, 'store_and_fwd_flag': 806937, 'PULocationID': 0, 'DOLocationID': 0, 'payment_type': 0, 'fare_amount': 0, 'extra': 0, 'mta_tax': 0, 'tip_amount': 0, 'tolls_amount': 0, 'improvement_surcharge': 0, 'total_amount': 0, 'congestion_surcharge': 806937, 'Airport_fee': 806937, 'cbd_congestion_fee': 0}"
